ent,mun,loc,upm,est_d,t_loc,id_vivienda,hab
9,17,1,19389,3,1,4,3
9,7,1,31460,3,1,1,1
9,7,1,29569,3,1,5,2
9,8,1,33261,3,1,2,7
9,5,1,12224,3,1,4,1
9,5,1,6153,3,1,5,3
9,7,1,30848,3,1,3,5
9,4,1,26943,3,1,5,6
9,10,1,28934,3,1,2,5
9,7,1,29799,3,1,3,3
9,7,1,29799,3,1,4,5
9,7,1,29799,3,1,5,1
9,5,1,7830,3,1,3,3
9,7,1,30229,3,1,3,2
9,7,1,29977,3,1,1,5
9,7,1,30080,3,1,2,6
9,5,1,8318,3,1,1,1
9,10,1,28934,3,1,3,1
9,7,1,31882,3,1,1,3
9,13,1,35410,3,1,1,7
9,4,1,26943,3,1,2,5
9,7,1,30848,3,1,1,7
9,7,1,27724,3,1,1,6
9,7,1,30710,3,1,1,3
9,7,1,30710,3,1,3,7
9,7,1,32155,3,1,3,3
9,7,1,29799,3,1,1,3
9,5,1,12224,3,1,2,7
9,13,1,37771,3,1,5,7
9,7,1,31460,3,1,3,2
9,7,1,33864,3,1,5,2
9,7,1,32719,3,1,2,2
9,7,1,32719,3,1,1,7
9,7,1,28662,3,1,2,6
9,7,1,30080,3,1,4,7
9,7,1,31460,3,1,5,3
9,17,1,19389,3,1,1,6
9,7,1,31882,3,1,2,3
9,7,1,32155,3,1,4,7
9,7,1,31882,3,1,5,2
9,13,1,35410,3,1,2,4
9,7,1,32155,3,1,5,5
9,7,1,29977,3,1,2,5
9,12,1,36578,3,1,5,3
9,7,1,29254,3,1,2,3
9,9,24,37862,3,3,4,4
9,7,1,30080,3,1,5,5
9,7,1,30080,3,1,1,2
9,7,1,32398,3,1,1,4
9,5,1,9669,3,1,2,3
9,7,1,31154,3,1,1,6
9,5,1,6153,3,1,2,7
9,11,11,37561,3,3,5,5
9,13,1,35410,3,1,3,5
9,13,1,37271,3,1,5,6
9,13,1,37271,3,1,4,5
9,7,1,31154,3,1,5,1
9,7,1,26107,3,1,1,5
9,7,1,30848,3,1,4,6
9,5,1,6816,3,1,2,5
9,7,1,29977,3,1,3,1
9,9,24,37862,3,3,5,4
9,11,11,37561,3,3,3,4
9,17,1,19389,3,1,5,4
9,11,11,37561,3,3,2,1
9,17,1,19389,3,1,2,5
9,7,1,30522,3,1,2,1
9,4,1,26943,3,1,4,3
9,5,1,12224,3,1,1,5
9,5,1,8318,3,1,3,5
9,7,1,30522,3,1,1,7
9,9,24,37862,3,3,2,5
9,13,1,37771,3,1,1,4
9,7,1,28662,3,1,5,7
9,7,1,29569,3,1,3,4
9,5,1,7830,3,1,2,5
9,10,1,25353,3,1,5,3
9,7,1,29254,3,1,1,1
9,7,1,27724,3,1,5,2
9,13,1,37771,3,1,3,2
9,5,1,9669,3,1,4,1
9,7,1,29569,3,1,2,7
9,13,1,35410,3,1,5,6
9,7,1,30229,3,1,5,5
9,7,1,33864,3,1,1,1
9,9,24,37862,3,3,3,1
9,10,1,24631,4,1,2,1
9,7,1,26264,4,1,4,1
9,12,26,37581,4,2,4,2
9,10,1,25924,4,1,4,5
9,3,1,32796,4,1,4,1
9,7,1,30824,4,1,5,7
9,13,1,37101,4,1,5,1
9,8,1,34295,4,1,1,5
9,7,1,32714,4,1,5,3
9,2,1,14309,4,1,3,1
9,7,1,29581,4,1,5,5
9,5,1,7259,4,1,5,2
9,2,1,13966,4,1,5,1
9,7,1,30190,4,1,5,5
9,5,1,8663,4,1,1,3
9,8,1,33263,4,1,2,3
9,3,1,31674,4,1,4,4
9,5,1,11708,4,1,5,6
9,13,1,37349,4,1,4,5
9,17,1,16949,4,1,1,6
9,17,1,16949,4,1,2,6
9,15,1,18129,4,1,1,2
9,16,1,17887,4,1,5,3
9,17,1,16062,4,1,2,1
9,7,1,29261,4,1,4,5
9,5,1,9973,4,1,5,5
9,3,1,32229,4,1,5,1
9,12,1,35247,4,1,4,4
9,7,1,29078,4,1,1,2
9,7,1,26718,4,1,3,3
9,7,1,29834,4,1,1,2
9,10,1,23237,4,1,5,2
9,7,1,31888,4,1,5,7
9,5,1,8086,4,1,4,7
9,7,1,27934,4,1,3,7
9,6,1,25187,4,1,4,6
9,10,1,25924,4,1,3,7
9,16,1,22117,4,1,3,5
9,7,1,27715,4,1,4,2
9,15,1,18129,4,1,2,3
9,10,1,27136,4,1,5,1
9,6,1,20012,4,1,3,2
9,7,1,32150,4,1,1,2
9,11,1,34983,4,1,2,7
9,7,1,27386,4,1,1,7
9,10,1,28942,4,1,5,4
9,7,1,26462,4,1,5,6
9,11,1,34983,4,1,3,3
9,7,1,30190,4,1,1,2
9,7,1,31952,4,1,4,1
9,6,1,25187,4,1,5,6
9,5,1,7612,4,1,3,6
9,7,1,29421,4,1,3,3
9,3,1,31674,4,1,1,1
9,10,1,28337,4,1,2,7
9,4,1,28805,4,1,1,3
9,10,1,31528,4,1,3,4
9,7,1,30824,4,1,2,1
9,7,1,28583,4,1,5,7
9,5,1,8086,4,1,2,7
9,5,1,11959,4,1,3,4
9,2,1,13966,4,1,2,3
9,6,1,20012,4,1,5,1
9,10,1,28106,4,1,5,3
9,7,1,29691,4,1,4,2
9,11,1,34027,4,1,5,2
9,2,1,13383,4,1,2,3
9,12,1,36715,4,1,1,7
9,13,1,37493,4,1,3,4
9,7,1,27523,4,1,5,1
9,7,1,31952,4,1,2,2
9,7,1,31295,4,1,1,6
9,7,1,30674,4,1,1,4
9,10,1,25924,4,1,1,2
9,7,1,26718,4,1,5,2
9,5,1,12426,4,1,2,2
9,5,1,8086,4,1,3,4
9,12,1,37283,4,1,1,7
9,5,1,11708,4,1,3,3
9,4,1,28805,4,1,4,2
9,3,1,32796,4,1,5,3
9,10,1,28106,4,1,4,3
9,10,1,25366,4,1,3,1
9,3,1,31674,4,1,3,5
9,7,1,34135,4,1,5,5
9,12,1,36715,4,1,4,3
9,5,1,6930,4,1,3,2
9,8,1,32070,4,1,1,4
9,12,1,35941,4,1,2,1
9,11,1,34670,4,1,5,1
9,12,26,37646,4,2,1,5
9,7,1,29261,4,1,1,5
9,12,1,37198,4,1,4,5
9,12,1,36894,4,1,5,7
9,5,1,11959,4,1,2,7
9,11,1,35554,4,1,5,5
9,7,1,33478,4,1,5,1
9,10,1,26068,4,1,4,1
9,7,1,29261,4,1,5,5
9,11,1,36376,4,1,2,5
9,9,36,37908,4,3,1,3
9,7,1,29976,4,1,1,7
9,10,1,25638,4,1,2,2
9,5,1,8663,4,1,2,6
9,13,1,37426,4,1,4,3
9,7,1,26264,4,1,1,2
9,7,1,26462,4,1,1,5
9,7,1,30824,4,1,3,4
9,2,1,14309,4,1,4,3
9,7,1,30373,4,1,3,3
9,3,1,31386,4,1,4,6
9,16,1,22117,4,1,4,5
9,7,1,29078,4,1,4,1
9,3,1,32229,4,1,2,3
9,12,1,37283,4,1,5,6
9,3,1,30973,4,1,4,2
9,7,1,34135,4,1,4,2
9,5,1,7259,4,1,1,5
9,7,1,31888,4,1,2,6
9,7,1,32531,4,1,2,2
9,5,1,8086,4,1,1,7
9,7,1,33478,4,1,4,3
9,8,1,34295,4,1,4,1
9,9,33,37828,4,3,1,7
9,11,1,34027,4,1,2,1
9,2,1,13966,4,1,4,3
9,7,1,34135,4,1,2,6
9,12,1,36894,4,1,3,3
9,10,1,26068,4,1,2,6
9,17,1,19262,4,1,5,4
9,7,1,29421,4,1,1,1
9,7,1,30490,4,1,3,3
9,7,1,31888,4,1,4,1
9,8,1,33263,4,1,3,3
9,3,1,32229,4,1,3,2
9,12,1,34808,4,1,3,2
9,15,1,18129,4,1,3,5
9,7,1,30824,4,1,1,6
9,7,1,27715,4,1,1,6
9,3,1,31386,4,1,3,7
9,13,1,36581,4,1,4,4
9,3,1,31386,4,1,2,6
9,5,1,8086,4,1,5,5
9,2,1,13383,4,1,5,4
9,5,1,6930,4,1,2,2
9,10,1,25366,4,1,5,2
9,7,1,30674,4,1,2,7
9,5,1,9973,4,1,4,6
9,15,1,18129,4,1,4,1
9,5,1,8663,4,1,3,2
9,12,1,36180,4,1,2,3
9,7,1,26718,4,1,4,1
9,8,1,33263,4,1,4,1
9,11,1,34487,4,1,1,4
9,2,1,13383,4,1,3,2
9,7,1,32531,4,1,5,7
9,11,1,34027,4,1,4,5
9,12,1,37283,4,1,4,4
9,10,1,31528,4,1,1,1
9,7,1,32150,4,1,4,6
9,7,1,32531,4,1,3,5
9,11,1,34983,4,1,1,5
9,7,1,26462,4,1,2,1
9,7,1,31098,4,1,5,3
9,7,1,26264,4,1,3,1
9,7,1,31098,4,1,4,2
9,2,1,14584,4,1,1,5
9,10,1,23237,4,1,4,2
9,7,1,30190,4,1,2,6
9,5,1,12191,4,1,3,7
9,16,1,22117,4,1,5,3
9,13,1,37349,4,1,2,4
9,11,1,34670,4,1,2,7
9,13,1,37101,4,1,1,1
9,13,1,37493,4,1,5,7
9,10,1,24631,4,1,1,4
9,9,15,37718,4,3,4,5
9,11,1,35154,4,1,5,7
9,10,1,23237,4,1,3,1
9,12,1,35941,4,1,1,1
9,13,1,37426,4,1,1,4
9,10,1,25638,4,1,4,7
9,13,1,37101,4,1,2,7
9,12,1,35941,4,1,3,2
9,12,1,37198,4,1,2,4
9,7,1,33623,4,1,3,6
9,8,1,34295,4,1,2,7
9,7,1,28583,4,1,2,3
9,8,1,32070,4,1,3,7
9,11,1,36376,4,1,3,4
9,7,1,32269,4,1,1,3
9,10,1,28337,4,1,4,1
9,7,1,28452,4,1,4,4
9,3,1,31674,4,1,2,5
9,8,1,32070,4,1,5,7
9,10,1,28942,4,1,2,2
9,13,1,37349,4,1,1,5
9,11,1,34487,4,1,5,5
9,5,1,8663,4,1,5,5
9,7,1,29976,4,1,5,5
9,7,1,25757,4,1,3,5
9,6,1,20012,4,1,2,6
9,7,1,33851,4,1,2,2
9,2,1,13966,4,1,3,6
9,5,1,7612,4,1,2,4
9,12,1,36715,4,1,3,7
9,12,1,37283,4,1,3,5
9,9,15,37718,4,3,2,7
9,7,1,33623,4,1,1,2
9,7,1,29421,4,1,2,4
9,7,1,29691,4,1,5,5
9,7,1,25757,4,1,1,1
9,7,1,32714,4,1,4,1
9,2,1,14309,4,1,5,7
9,7,1,27386,4,1,2,5
9,7,1,27715,4,1,5,4
9,10,1,26068,4,1,1,6
9,11,1,33016,4,1,4,2
9,4,1,28805,4,1,3,4
9,9,36,37908,4,3,5,3
9,2,1,14584,4,1,2,6
9,8,1,34295,4,1,3,2
9,5,1,12191,4,1,4,2
9,3,1,31386,4,1,5,2
9,13,1,36581,4,1,5,2
9,11,1,35554,4,1,2,6
9,11,1,35554,4,1,4,4
9,13,1,36581,4,1,3,2
9,7,1,28583,4,1,1,7
9,5,1,12819,4,1,5,3
9,3,1,31674,4,1,5,3
9,7,1,25519,4,1,1,1
9,12,1,34808,4,1,1,3
9,10,1,28337,4,1,5,7
9,3,1,30973,4,1,1,3
9,13,1,37493,4,1,2,5
9,10,1,26068,4,1,3,2
9,5,1,12819,4,1,4,7
9,12,1,35247,4,1,1,4
9,10,1,24631,4,1,5,4
9,7,1,27715,4,1,2,4
9,5,1,12426,4,1,5,4
9,7,1,30490,4,1,1,7
9,7,1,25519,4,1,5,6
9,11,1,34487,4,1,3,7
9,17,1,16062,4,1,4,5
9,11,1,34670,4,1,1,4
9,12,1,37198,4,1,3,7
9,13,1,37426,4,1,3,1
9,7,1,26462,4,1,3,5
9,7,1,32714,4,1,3,7
9,4,1,28805,4,1,2,2
9,10,1,28106,4,1,3,4
9,2,1,13383,4,1,4,2
9,5,1,11708,4,1,4,6
9,7,1,31888,4,1,3,4
9,7,1,27386,4,1,4,1
9,10,1,31528,4,1,2,5
9,8,1,33263,4,1,5,7
9,5,1,11708,4,1,1,2
9,11,1,35154,4,1,2,7
9,5,1,13081,4,1,5,2
9,2,1,14584,4,1,3,2
9,7,1,33478,4,1,3,6
9,7,1,29261,4,1,2,6
9,12,1,35247,4,1,2,2
9,9,36,37908,4,3,2,4
9,5,1,9973,4,1,1,2
9,16,1,22117,4,1,1,5
9,7,1,29261,4,1,3,2
9,5,1,7259,4,1,3,4
9,10,1,31528,4,1,5,5
9,10,1,31528,4,1,4,3
9,5,1,7259,4,1,4,7
9,7,1,25757,4,1,4,2
9,11,1,34983,4,1,4,4
9,7,1,32269,4,1,2,3
9,7,1,32269,4,1,3,4
9,12,26,37581,4,2,3,6
9,13,1,37101,4,1,4,5
9,5,1,7259,4,1,2,5
9,7,1,31098,4,1,1,2
9,6,1,20012,4,1,4,1
9,11,1,34670,4,1,3,1
9,11,1,33016,4,1,2,3
9,10,1,25638,4,1,1,2
9,7,1,26264,4,1,2,4
9,12,1,36894,4,1,1,4
9,7,1,32531,4,1,4,1
9,2,1,14309,4,1,1,5
9,10,1,25638,4,1,3,5
9,17,1,19262,4,1,1,4
9,12,1,36180,4,1,3,5
9,5,1,6930,4,1,5,5
9,7,1,33623,4,1,5,1
9,5,1,9973,4,1,2,6
9,7,1,32714,4,1,2,3
9,5,1,13081,4,1,1,6
9,3,1,32229,4,1,1,1
9,3,1,32796,4,1,2,6
9,12,1,34808,4,1,4,7
9,3,1,32796,4,1,3,2
9,7,1,32269,4,1,4,2
9,10,1,25638,4,1,5,2
9,7,1,26264,4,1,5,7
9,3,1,31386,4,1,1,3
9,5,1,6930,4,1,4,2
9,7,1,30674,4,1,4,5
9,10,1,28942,4,1,1,7
9,7,1,29976,4,1,2,2
9,7,1,31295,4,1,2,3
9,16,1,17887,4,1,1,1
9,16,1,17887,4,1,4,1
9,7,1,28452,4,1,2,5
9,6,1,23737,4,1,3,3
9,11,1,35154,4,1,4,2
9,12,1,36715,4,1,2,4
9,7,1,33851,4,1,5,1
9,7,1,27523,4,1,4,2
9,7,1,29691,4,1,3,5
9,7,1,26718,4,1,1,1
9,3,1,32229,4,1,4,5
9,12,1,36180,4,1,1,6
9,6,1,23737,4,1,5,6
9,7,1,26718,4,1,2,7
9,7,1,31888,4,1,1,5
9,7,1,31295,4,1,5,1
9,7,1,28452,4,1,5,1
9,3,1,30973,4,1,3,4
9,7,1,29581,4,1,1,4
9,7,1,31098,4,1,2,3
9,11,1,34487,4,1,4,7
9,3,1,30973,4,1,2,6
9,7,1,29691,4,1,1,4
9,12,1,35247,4,1,5,5
9,7,1,26462,4,1,4,3
9,13,1,36581,4,1,1,3
9,7,1,27386,4,1,5,6
9,8,1,32070,4,1,4,1
9,7,1,30824,4,1,4,1
9,13,1,36581,4,1,2,4
9,7,1,27934,4,1,1,1
9,7,1,30674,4,1,5,2
9,5,1,11959,4,1,1,6
9,7,1,30490,4,1,2,3
9,10,1,27136,4,1,1,5
9,15,1,18129,4,1,5,4
9,7,1,30373,4,1,5,1
9,9,33,37828,4,3,4,5
9,12,26,37581,4,2,1,2
9,7,1,31295,4,1,3,4
9,7,1,29581,4,1,4,6
9,2,1,13383,4,1,1,1
9,17,1,19262,4,1,4,7
9,7,1,27386,4,1,3,1
9,17,1,16949,4,1,5,6
9,7,1,25757,4,1,5,6
9,12,26,37581,4,2,2,7
9,7,1,32531,4,1,1,7
9,10,1,27136,4,1,4,4
9,7,1,29834,4,1,4,3
9,7,1,33623,4,1,2,3
9,5,1,11959,4,1,5,7
9,2,1,14309,4,1,2,7
9,5,1,9973,4,1,3,4
9,7,1,29834,4,1,5,2
9,7,1,33851,4,1,3,1
9,9,15,37718,4,3,3,7
9,5,1,12191,4,1,5,7
9,10,1,25924,4,1,2,5
9,10,1,23237,4,1,2,5
9,7,1,29581,4,1,2,5
9,7,1,31098,4,1,3,1
9,11,1,34487,4,1,2,2
9,12,1,37198,4,1,5,5
9,7,1,27523,4,1,1,1
9,7,1,27523,4,1,3,7
9,12,26,37646,4,2,5,7
9,2,1,13966,4,1,1,1
9,2,1,14584,4,1,5,3
9,5,1,12191,4,1,2,1
9,7,1,30674,4,1,3,1
9,7,1,31952,4,1,1,6
9,5,1,12819,4,1,1,2
9,7,1,29078,4,1,5,5
9,17,1,16949,4,1,4,2
9,5,1,12191,4,1,1,2
9,7,1,27715,4,1,3,3
9,7,1,33478,4,1,1,3
9,10,1,28942,4,1,4,1
9,7,1,30490,4,1,4,1
9,10,1,28942,4,1,3,5
9,12,1,34808,4,1,5,1
9,6,1,23737,4,1,4,3
9,5,1,11959,4,1,4,4
9,8,1,32070,4,1,2,6
9,13,1,37493,4,1,4,1
9,7,1,28583,4,1,4,5
9,5,1,12426,4,1,1,5
9,7,1,29976,4,1,3,5
9,12,26,37646,4,2,4,7
9,7,1,28452,4,1,1,5
9,13,1,37101,4,1,3,6
9,7,1,30373,4,1,1,5
9,10,1,28337,4,1,3,7
9,17,1,16062,4,1,5,7
9,10,1,25366,4,1,2,3
9,10,1,28337,4,1,1,4
9,5,1,12426,4,1,4,3
9,3,1,30973,4,1,5,2
9,7,1,29834,4,1,3,5
9,12,26,37646,4,2,2,3
9,5,1,13081,4,1,3,5
9,10,1,28106,4,1,2,5
9,11,1,33016,4,1,1,4
9,7,1,32150,4,1,3,7
9,7,1,27934,4,1,2,3
9,10,1,28106,4,1,1,6
9,5,1,13081,4,1,2,4
9,16,1,22117,4,1,2,5
9,9,36,37908,4,3,4,2
9,7,1,27934,4,1,4,3
9,10,1,27136,4,1,2,7
9,13,1,37426,4,1,2,1
9,6,1,25187,4,1,2,2
9,8,1,34295,4,1,5,3
9,12,1,35247,4,1,3,3
9,12,1,37283,4,1,2,2
9,9,33,37828,4,3,3,7
9,12,1,36180,4,1,5,2
9,10,1,26068,4,1,5,3
9,17,1,16949,4,1,3,3
9,7,1,32269,4,1,5,7
9,6,1,23737,4,1,1,4
9,7,1,34135,4,1,1,7
9,16,1,17887,4,1,2,7
9,5,1,6930,4,1,1,3
9,11,1,35154,4,1,3,1
9,10,1,24631,4,1,3,5
9,11,1,35554,4,1,3,5
9,12,1,37198,4,1,1,2
9,5,1,12819,4,1,2,3
9,6,1,25187,4,1,3,6
9,11,1,34670,4,1,4,6
9,10,1,23237,4,1,1,6
9,17,1,19262,4,1,2,1
9,3,1,32796,4,1,1,1
9,7,1,25757,4,1,2,3
9,12,1,34808,4,1,2,4
9,17,1,16062,4,1,1,1
9,9,15,37718,4,3,1,4
9,7,1,33478,4,1,2,4
9,13,1,37426,4,1,5,6
9,12,1,36894,4,1,4,1
9,7,1,30373,4,1,4,7
9,11,1,34983,4,1,5,4
9,7,1,31952,4,1,3,5
9,7,1,25519,4,1,2,1
9,11,1,35154,4,1,1,4
9,7,1,30490,4,1,5,7
9,7,1,30190,4,1,3,5
9,12,1,35941,4,1,5,4
9,7,1,30373,4,1,2,4
9,5,1,12426,4,1,3,5
9,4,1,28805,4,1,5,5
9,7,1,29581,4,1,3,4
9,5,1,7612,4,1,1,3
9,17,1,19262,4,1,3,3
9,5,1,7612,4,1,5,7
9,7,1,29834,4,1,2,4
9,7,1,28452,4,1,3,3
9,7,1,25519,4,1,3,4
9,10,1,25366,4,1,4,5
9,12,1,35941,4,1,4,5
9,5,1,7612,4,1,4,3
9,12,1,36715,4,1,5,6
9,7,1,27523,4,1,2,7
9,12,1,36180,4,1,4,7
9,7,1,29078,4,1,2,6
9,12,1,36894,4,1,2,1
9,6,1,23737,4,1,2,4
9,10,1,25366,4,1,1,4
9,11,1,35554,4,1,1,4
9,11,1,33016,4,1,3,4
9,7,1,31952,4,1,5,1
9,5,1,12819,4,1,3,2
9,7,1,29078,4,1,3,3
9,11,1,36376,4,1,1,7
9,7,1,29976,4,1,4,6
9,7,1,33851,4,1,1,6
9,6,1,20012,4,1,1,5
9,7,1,25519,4,1,4,1
9,10,1,25924,4,1,5,7
9,9,15,37718,4,3,5,3
9,7,1,27934,4,1,5,5
9,7,1,34135,4,1,3,3
9,7,1,31295,4,1,4,7
9,7,1,29421,4,1,4,5
9,7,1,29691,4,1,2,3
9,11,1,34027,4,1,1,5
9,13,1,37493,4,1,1,7
9,9,33,37828,4,3,5,6
9,12,26,37581,4,2,5,2
9,5,1,8663,4,1,4,5
9,7,1,32150,4,1,2,6
9,5,1,11708,4,1,2,3
9,16,1,17887,4,1,3,2
9,11,1,33016,4,1,5,6
9,11,1,36376,4,1,5,4
9,7,1,32150,4,1,5,1
9,17,1,16062,4,1,3,4
9,12,26,37646,4,2,3,6
9,7,1,32714,4,1,1,7
9,2,1,14584,4,1,4,2
9,13,1,37349,4,1,5,4
9,6,1,25187,4,1,1,5
9,9,33,37828,4,3,2,3
9,11,1,34027,4,1,3,4
9,5,1,13081,4,1,4,6
9,8,1,33263,4,1,1,5
9,13,1,37349,4,1,3,4
9,10,1,27136,4,1,3,3
9,7,1,29421,4,1,5,2
9,7,1,33851,4,1,4,5
9,7,1,28583,4,1,3,7
9,7,1,33623,4,1,4,2
9,9,36,37908,4,3,3,1
9,10,1,24631,4,1,4,2
9,7,1,30190,4,1,4,1
9,11,1,36376,4,1,4,7
9,5,1,11813,5,1,5,5
9,12,1,36395,5,1,4,6
9,15,1,19784,5,1,3,4
9,15,1,19458,5,1,5,6
9,2,1,12257,5,1,5,2
9,15,1,21253,5,1,2,2
9,16,1,17443,5,1,4,4
9,16,1,15989,5,1,5,3
9,7,1,34866,5,1,4,2
9,15,1,16922,5,1,5,3
9,7,1,31982,5,1,2,5
9,6,1,23029,5,1,4,3
9,5,1,9273,5,1,3,2
9,17,1,18068,5,1,5,2
9,16,1,16502,5,1,4,1
9,17,1,17011,5,1,5,5
9,5,1,10322,5,1,1,6
9,3,1,33359,5,1,3,5
9,7,1,30487,5,1,1,3
9,8,1,32767,5,1,1,1
9,16,1,16502,5,1,2,3
9,8,1,32106,5,1,3,5
9,16,1,15564,5,1,3,6
9,17,1,18376,5,1,4,3
9,7,1,33825,5,1,1,5
9,11,1,34181,5,1,1,4
9,7,1,29561,5,1,1,2
9,3,1,32604,5,1,3,3
9,7,1,29151,5,1,4,3
9,7,1,25793,5,1,2,7
9,7,1,26952,5,1,3,7
9,7,1,27079,5,1,2,1
9,6,1,23436,5,1,4,4
9,7,1,25643,5,1,3,4
9,7,1,31654,5,1,2,1
9,12,1,36653,5,1,3,4
9,3,1,33359,5,1,1,1
9,2,1,14304,5,1,5,4
9,17,1,20720,5,1,2,3
